triple & rank \\
["[0, 0, 0]", "*", "*"] & 16 \\
["[1, 0, 0]", "*", "*"] & 16 \\
["[2, 0, 0]", "*", "*"] & 16 \\
["[3, 0, 0]", "*", "*"] & 16 \\
["[0, 1, 0]", "*", "*"] & 16 \\
["[1, 1, 0]", "*", "*"] & 16 \\
["[2, 1, 0]", "*", "*"] & 16 \\
["[3, 1, 0]", "*", "*"] & 16 \\
["[0, 0, 1]", "*", "*"] & 16 \\
["[1, 0, 1]", "*", "*"] & 16 \\
["[2, 0, 1]", "*", "*"] & 16 \\
["[3, 0, 1]", "*", "*"] & 16 \\
["[0, 1, 1]", "*", "*"] & 16 \\
["[1, 1, 1]", "*", "*"] & 16 \\
["[2, 1, 1]", "*", "*"] & 16 \\
["[3, 1, 1]", "*", "*"] & 16 \\
["*", "[0, 0, 0]", "*"] & 16 \\
["*", "[1, 0, 0]", "*"] & 16 \\
["*", "[2, 0, 0]", "*"] & 16 \\
["*", "[3, 0, 0]", "*"] & 16 \\
["*", "[0, 1, 0]", "*"] & 16 \\
["*", "[1, 1, 0]", "*"] & 16 \\
["*", "[2, 1, 0]", "*"] & 16 \\
["*", "[3, 1, 0]", "*"] & 16 \\
["*", "[0, 0, 1]", "*"] & 16 \\
["*", "[1, 0, 1]", "*"] & 16 \\
["*", "[2, 0, 1]", "*"] & 16 \\
["*", "[3, 0, 1]", "*"] & 16 \\
["*", "[0, 1, 1]", "*"] & 16 \\
["*", "[1, 1, 1]", "*"] & 16 \\
["*", "[2, 1, 1]", "*"] & 16 \\
["*", "[3, 1, 1]", "*"] & 16 \\
["*", "*", "[0, 0, 0]"] & 16 \\
["*", "*", "[1, 0, 0]"] & 16 \\
["*", "*", "[2, 0, 0]"] & 16 \\
["*", "*", "[3, 0, 0]"] & 16 \\
["*", "*", "[0, 1, 0]"] & 16 \\
["*", "*", "[1, 1, 0]"] & 16 \\
["*", "*", "[2, 1, 0]"] & 16 \\
["*", "*", "[3, 1, 0]"] & 16 \\
["*", "*", "[0, 0, 1]"] & 16 \\
["*", "*", "[1, 0, 1]"] & 16 \\
["*", "*", "[2, 0, 1]"] & 16 \\
["*", "*", "[3, 0, 1]"] & 16 \\
["*", "*", "[0, 1, 1]"] & 16 \\
["*", "*", "[1, 1, 1]"] & 16 \\
["*", "*", "[2, 1, 1]"] & 16 \\
["*", "*", "[3, 1, 1]"] & 16 \\
